Company,Year,num_pages,word_count,env_per_1k,social_per_1k,gov_per_1k,framework_per_1k,assurance_per_1k,transparency_per_1k,risk_per_1k,targets_by_2030_mentions
BMW Group,2017,214,141500,5.21,3.01,9.88,0.84,1.62,1.26,3.81,18
BMW Group,2018,126,152200,5.6,3.41,10.74,0.91,1.99,1.5,3.98,29
BMW Group,2019,142,163900,6.11,3.67,11.12,1.02,2.18,1.74,4.47,41
BMW Group,2020,368,163559,6.21,3.56,11.01,1.08,2.23,1.77,4.51,43
BMW Group,2021,353,178862,5.79,4.97,13.75,1.01,2.35,1.77,4.11,39
BMW Group,2022,343,179386,6.83,4.43,11.23,1.01,4.22,1.9,4.22,34
BMW Group,2023,339,184419,6.56,4.36,11.17,0.99,3.93,1.97,4.21,34
BMW Group,2024,432,255487,8.9,5.58,11.05,0.52,3.68,2.58,4.72,62
,,,,,,,,,,,
Porsche AG,2017,64,31943,0.91,1.25,0,0.19,0.03,0.13,0.16,5
Porsche AG,2018,75,25949,1.39,1.5,0.08,0.27,0.04,0.27,0.15,3
Porsche AG,2019,102,73180,3.4,4.8,1.09,2.31,0.64,0.21,0.56,2
Porsche AG,2020,111,84909,7.08,8.48,3.25,1.72,2.85,0.07,0.71,16
Porsche AG,2021,137,97505,8.46,9.48,4.27,1.66,4.11,0.3,1.83,49
Porsche AG,2022,222,188867,4.79,6.56,14.96,2.26,3.08,0.58,5.85,38
Porsche AG,2023,239,107284,10.92,5.97,23.15,1.29,2.38,1.98,2.92,33
Porsche AG,2024,257,120175,18.27,4.44,32.93,2.77,2.16,3.51,9.7,13
,,,,,,,,,,,
Volkswagen Group,2017,125,25524,3.84,5.64,1.68,1.41,1.76,0.39,2.39,1
Volkswagen Group,2018,108,48682,3.9,5.83,4.66,5.67,1.44,0.45,2.86,3
Volkswagen Group,2019,100,54177,5.21,5.08,5.19,3.1,1.27,0.66,3.43,5
Volkswagen Group,2020,97,57790,4.31,2.98,6.7,0.97,0.4,0.45,2.75,4
Volkswagen Group,2021,111,61804,3.99,3.36,6.63,2.25,0.44,0.28,3.14,15
Volkswagen Group,2022,119,68648,7.5,5.99,8.69,2.42,0.41,0.41,3.13,15
Volkswagen Group,2023,136,74205,7.78,6.52,8.49,2.7,0.38,0.32,2.88,13
Volkswagen Group,2024,240,126192,6.02,2.65,4.33,2.24,0,1.7,3.73,7
